Timestamp,Nursing Program,Age Group,Gender,Civil Status,Income,Ethnicity,Study Hours  ,Sleep Hours  ,Employment Type,I adjust my learning strategies effectively when using AI tools in my nursing studies.​,I remain confident in my academic abilities when AI tools provide feedback that challenges my thinking.,I use AI feedback to improve my performance after academic difficulties.,I utilize AI to organize my academic schedule and manage my time effectively,AI helps me identify and access credible research materials to support my clinical assignments,Using AI allows me to better manage the volume of information required for my nursing exams.,I rely on AI to help me maintain balance between academic workload and personal well-being.,I use AI to recognize patterns in patient information during my learning activities.,I use AI to connect different types of health information to understand the whole clinical picture.,I use AI to identify trends across multiple patient cases in my coursework.,I use AI to support my understanding of patient care as an interconnected system.,I use AI to support my clinical reasoning when making nursing-related decisions.,I use AI to compare possible clinical decision during case-based learning.,I use AI as a guide to improve the accuracy of my nursing judgments.,I use AI as a supportive tool while maintaining my responsibility for clinical decisions 
5/15/2026 20:35,BSN Program,35 - 44 years old,Female,Single (never married),40 K - 70 K,Black or African American,Less than 5 hours,6 - 8 hours,Employed Full-Time,Somewhat Agree,Neither agree Nor Disagree,Neither Agree Nor Disagree,Somewhat Agree,Neither Agree Nor Disagree,Somewhat Disagree,"Neither Agree Nor Disagree, Somewhat Agree",Neither Agree Nor Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree
5/15/2026 23:31,BSN Program,18 - 24 years old,Male,Single (never married),Over 100 K,Black or African American,10 - 15 hours,6 - 8 hours,Self-Employed,"Neither Agree nor Disagree, Somewhat Agree",Neither agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Somewhat Agree
5/15/2026 23:53,BSN Program,25 - 34 years old,Female,Domestic Partnership,40 K - 70 K,Hispanic or Latino,5 - 10 hours,6 - 8 hours,Employed Part-Time,Neither Agree nor Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Neither Agree Nor Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
5/16/2026 2:00,RN to BSN Program,18 - 24 years old,Female,Single (never married),Below 15 K,Black or African American,5 - 10 hours,Less than 6 hours,Unemployed not looking for work,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
5/16/2026 2:55,BSN Program,35 - 44 years old,Female,Married,Below 15 K,Black or African American,15 - 20 hours,Less than 6 hours,Employed Part-Time,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree
5/16/2026 9:47,BSN Program,35 - 44 years old,Female,Married,Below 15 K,Black or African American,15 - 20 hours,Less than 6 hours,Employed Part-Time,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree
5/16/2026 11:52,RN to BSN Program,25 - 34 years old,Female,Married,70 K - 100 K,Black or African American,5 - 10 hours,6 - 8 hours,Employed Full-Time,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Strongly Agree,Strongly Agree
5/16/2026 14:58,BSN Program,25 - 34 years old,Female,Single (never married),40 K - 70 K,Black or African American,Less than 5 hours,Less than 6 hours,Employed Full-Time,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,Agree,Somewhat Disagree,Agree,Somewhat Agree,Agree
5/16/2026 16:20,BSN Program,35 - 44 years old,Male,Single (never married),40 K - 70 K,Black or African American,10 - 15 hours,Less than 6 hours,Employed Full-Time,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Disagree,Disagree,Disagree,Somewhat Agree,Agree,Agree
5/16/2026 17:22,BSN Program,35 - 44 years old,Female,Divorced,40 K - 70 K,Black or African American,5 - 10 hours,Less than 6 hours,Employed Full-Time,Strongly Disagree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Somwhat Agree,Neither Agree Nor Disagree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree
5/16/2026 18:04,BSN Program,35 - 44 years old,Female,Married,70 K - 100 K,Black or African American,20 hours and more,Less than 6 hours,Employed Full-Time,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Strongly Disagree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Agree,Disagree,Somewhat Agree
5/16/2026 18:12,BSN Program,35 - 44 years old,Female,Divorced,40 K - 70 K,Black or African American,5 - 10 hours,6 - 8 hours,Employed Full-Time,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somwhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree
5/16/2026 18:17,BSN Program,35 - 44 years old,Female,Divorced,40 K - 70 K,Black or African American,5 - 10 hours,6 - 8 hours,Employed Full-Time,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somwhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree
5/16/2026 18:22,BSN Program,35 - 44 years old,Female,Divorced,40 K - 70 K,Black or African American,5 - 10 hours,6 - 8 hours,Employed Full-Time,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somwhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree
5/16/2026 19:06,BSN Program,25 - 34 years old,Female,Married,40 K - 70 K,Other,Less than 5 hours,6 - 8 hours,Employed Part-Time,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Agree,Agree
5/16/2026 20:57,BSN Program,25 - 34 years old,Female,Single (never married),Below 15 K,Black or African American,20 hours and more,8 - 10 hours,Unemployed not looking for work,Strongly Agree,Neither agree Nor Disagree,Strongly Agree,Strongly Agree,Neither Agree Nor Disagree,Strongly Agree,Strongly Agree,Neither Agree Nor Disagree,Strongly Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Strongly Agree,Agree,Neither Agree Nor Disagree,Strongly Agree
5/16/2026 21:07,BSN Program,25 - 34 years old,Female,Domestic Partnership,40 K - 70 K,Hispanic or Latino,5 - 10 hours,6 - 8 hours,Employed Part-Time,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree
5/16/2026 22:08,BSN Program,35 - 44 years old,Male,Married,40 K - 70 K,Black or African American,Less than 5 hours,6 - 8 hours,Employed Full-Time,Agree,Somewhat Agree,Somewhat Agree,Agree,Somwhat Agree,Somewhat Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,,Somewhat Disagree,,Agree,Neither Agree Nor Disagree,Somewhat Agree
5/16/2026 22:40,BSN Program,25 - 34 years old,Female,Domestic Partnership,Below 15 K,Black or African American,10 - 15 hours,6 - 8 hours,Unemployed not looking for work,Somewhat Agree,Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Disagree
